FID,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,SHAPE_Length,SHAPE_Area
1,42,003,050900,1400000US42003050900,42003050900,509,CT,452643,4114,0.0450478139229961,4.61751085000847e-05
2,42,003,070300,1400000US42003070300,42003070300,703,CT,428546,0,0.028484178626745,4.55177935000547e-05
3,42,003,120700,1400000US42003120700,42003120700,1207,CT,514927,0,0.0313717561543993,5.45585959999472e-05
4,42,003,140400,1400000US42003140400,42003140400,1404,CT,834995,0,0.0383741721615894,8.89317965001007e-05
5,42,003,180700,1400000US42003180700,42003180700,1807,CT,393380,0,0.0261418109258156,4.21267379999519e-05
6,42,003,220600,1400000US42003220600,42003220600,2206,CT,430172,0,0.0416638747491039,4.69067820000843e-05
7,42,003,270100,1400000US42003270100,42003270100,2701,CT,1039795,131921,0.0483249379852655,0.000124919403000298
8,42,003,281400,1400000US42003281400,42003281400,2814,CT,1328964,0,0.0512126685259321,0.000140333670999533
9,42,003,310300,1400000US42003310300,42003310300,3103,CT,2046497,0,0.0695251380276149,0.000220501834999505
10,42,003,408002,1400000US42003408002,42003408002,4080.02,CT,11667028,0,0.186282153541505,0.0012442832780001
11,42,003,423000,1400000US42003423000,42003423000,4230,CT,907019,88873,0.0502791346269426,0.000105192470500004
12,42,003,429201,1400000US42003429201,42003429201,4292.01,CT,4690076,0,0.101509605462222,0.000497516215500033
13,42,003,447000,1400000US42003447000,42003447000,4470,CT,3888768,0,0.0917924349605646,0.000417564365999776
14,42,003,457200,1400000US42003457200,42003457200,4572,CT,1896849,0,0.0735737262738275,0.000202154627500044
15,42,003,468900,1400000US42003468900,42003468900,4689,CT,1691926,0,0.0559623432474241,0.000180207103999569
16,42,003,475101,1400000US42003475101,42003475101,4751.01,CT,3134653,0,0.0835395364320063,0.000331454596000322
17,42,003,478100,1400000US42003478100,42003478100,4781,CT,1513315,0,0.0583250707863193,0.000160132587500155
18,42,003,486700,1400000US42003486700,42003486700,4867,CT,2492428,248729,0.0722941449962693,0.000290151352499611
19,42,003,490004,1400000US42003490004,42003490004,4900.04,CT,8040949,0,0.134127505126619,0.000858494966999827
20,42,003,494000,1400000US42003494000,42003494000,4940,CT,886861,186785,0.0515288585009287,0.000111991134500255
21,42,003,499300,1400000US42003499300,42003499300,4993,CT,2059493,324290,0.102499635930217,0.000251715858500099
22,42,003,499400,1400000US42003499400,42003499400,4994,CT,2036886,206323,0.0792062384706459,0.000238067044999852
23,42,003,514000,1400000US42003514000,42003514000,5140,CT,1131840,172230,0.048146915138595,0.00014093937999977
24,42,003,523400,1400000US42003523400,42003523400,5234,CT,3254207,0,0.0733605017697672,0.000346068966500156
25,42,003,552200,1400000US42003552200,42003552200,5522,CT,804397,235833,0.0449934480372761,0.000109439907500194
26,42,003,560400,1400000US42003560400,42003560400,5604,CT,511112,0,0.0329518489348629,5.40605869999685e-05
27,42,003,980000,1400000US42003980000,42003980000,9800,CT,637327,237263,0.0476037742379782,9.25527835000868e-05
28,42,003,980300,1400000US42003980300,42003980300,9803,CT,1294126,0,0.0554343306134227,0.000136601480999973
29,42,003,020300,1400000US42003020300,42003020300,203,CT,1594790,326537,0.0770321758817546,0.000203587609000369
30,42,003,040600,1400000US42003040600,42003040600,406,CT,253062,0,0.0243226150904534,2.60703110000992e-05
31,42,003,080600,1400000US42003080600,42003080600,806,CT,404921,0,0.0272375107365379,4.28756334996725e-05
32,42,003,090300,1400000US42003090300,42003090300,903,CT,256777,0,0.0249403365076728,2.65587580000102e-05
33,42,003,110200,1400000US42003110200,42003110200,1102,CT,815006,0,0.0382289700376219,8.72797555000814e-05
34,42,003,120400,1400000US42003120400,42003120400,1204,CT,437417,0,0.030132043454358,4.77965874998404e-05
35,42,003,140200,1400000US42003140200,42003140200,1402,CT,759492,0,0.0444179475475516,8.0772407999767e-05
36,42,003,140800,1400000US42003140800,42003140800,1408,CT,1089074,0,0.0589024410109657,0.000115700934500036
37,42,003,170200,1400000US42003170200,42003170200,1702,CT,1120492,259388,0.0619001042439733,0.000146795493500213
38,42,003,191800,1400000US42003191800,42003191800,1918,CT,1453327,0,0.0701081952889607,0.000150392460500258
39,42,003,250300,1400000US42003250300,42003250300,2503,CT,242446,0,0.0227694824987883,2.53266060002045e-05
40,42,003,401300,1400000US42003401300,42003401300,4013,CT,3338659,0,0.0932813997492203,0.000354996246499918
41,42,003,409000,1400000US42003409000,42003409000,4090,CT,43934370,33866,0.275284121877332,0.00467231914800116
42,42,003,413300,1400000US42003413300,42003413300,4133,CT,5744580,0,0.138892452721333,0.00061121981999935
43,42,003,417200,1400000US42003417200,42003417200,4172,CT,1319446,415229,0.0710655535713607,0.000184365784000218
44,42,003,426800,1400000US42003426800,42003426800,4268,CT,5178198,0,0.0928369483924253,0.000555220367999988
45,42,003,429400,1400000US42003429400,42003429400,4294,CT,3558361,0,0.0994760637943955,0.000381302829499413
46,42,003,431100,1400000US42003431100,42003431100,4311,CT,924161,0,0.0395321849421545,9.7039665499968e-05
47,42,003,446000,1400000US42003446000,42003446000,4460,CT,3875479,465048,0.088247817356361,0.000462543470000235
48,42,003,450800,1400000US42003450800,42003450800,4508,CT,1364588,299718,0.0698217787945486,0.00017643309199982
49,42,003,457100,1400000US42003457100,42003457100,4571,CT,941726,2737,0.0461731344583051,9.78949214999467e-05
50,42,003,460001,1400000US42003460001,42003460001,4600.01,CT,6663602,121528,0.11716632233346,0.000720038467999994
51,42,003,463900,1400000US42003463900,42003463900,4639,CT,1008815,0,0.0506005717612602,0.000105580882999662
52,42,003,468800,1400000US42003468800,42003468800,4688,CT,1089827,0,0.0452263690754977,0.000116163890000226
53,42,003,472200,1400000US42003472200,42003472200,4722,CT,651942,0,0.0354253213467427,6.83911775003369e-05
54,42,003,473602,1400000US42003473602,42003473602,4736.02,CT,2450837,6712,0.0796637220380103,0.000256729748000284
