,MUNICODE,Count,Return,Risk
120,106,160,6.59,9.41
104,109,210,6.24,8.16
91,108,276,5.36,6.79
78,117,384,4.77,8.16
115,104,176,4.67,6.55
69,116,454,4.56,8.32
56,111,664,4.15,4.55
29,110,1289,3.91,5.34
128,801,137,3.61,4.08
35,115,1119,3.59,5.44
130,125,124,3.21,5.41
10,119,2882,3.18,4.61
118,105,166,3.13,5.87
98,107,237,3.1,3.22
11,114,2815,3.09,3.17
41,819,988,3.05,4.65
99,851,229,3.04,3.72
49,854,793,2.9,4.44
61,932,599,2.81,3.24
107,838,207,2.57,6.34
34,878,1141,2.53,2.87
96,824,245,2.48,2.73
40,126,1013,2.46,4.41
46,128,838,2.4,3.54
76,823,389,2.39,3.46
95,826,254,2.36,3.93
2,926,4761,2.32,2.5
124,836,145,2.32,5.43
60,803,613,2.31,4.42
32,127,1202,2.27,4.15
21,938,1532,2.2,2.39
43,813,942,2.2,3.65
112,804,187,2.2,2.7
14,914,2395,2.19,2.18
58,118,625,2.18,5.06
51,864,766,2.18,3.95
45,923,842,2.09,2.01
109,852,206,2.07,6.95
57,905,633,2.05,2.74
85,130,342,2.05,6.2
33,929,1200,2.03,2.62
48,132,793,2.01,3.29
75,802,404,2.01,3.81
19,946,1720,2.0,2.65
4,940,3977,1.98,2.55
5,927,3919,1.97,2.03
94,112,262,1.95,4.73
20,935,1581,1.91,1.83
16,941,1894,1.91,2.5
68,853,471,1.9,4.25
131,809,112,1.88,1.97
15,884,1918,1.87,1.62
129,911,129,1.87,3.78
8,950,3261,1.84,2.0
59,845,614,1.84,2.94
82,855,375,1.81,5.68
3,944,4325,1.8,2.72
50,812,773,1.8,3.21
52,831,753,1.79,2.62
25,120,1376,1.77,3.28
72,937,425,1.76,3.38
31,873,1245,1.74,2.72
1,876,4843,1.74,2.12
81,827,375,1.72,4.48
87,124,325,1.71,4.35
106,834,207,1.7,5.71
39,866,1042,1.7,3.43
17,874,1877,1.68,2.63
18,945,1797,1.68,2.25
63,818,560,1.68,3.17
116,820,168,1.68,5.07
62,811,581,1.68,3.09
30,810,1264,1.68,3.04
86,910,328,1.66,2.09
28,931,1322,1.62,2.07
92,906,271,1.62,2.76
22,952,1428,1.58,2.36
70,131,450,1.57,3.08
114,859,180,1.56,4.89
42,919,976,1.55,2.31
23,939,1403,1.55,2.02
9,925,2979,1.54,2.12
101,915,226,1.52,3.12
134,928,101,1.49,3.18
83,902,357,1.48,3.07
125,907,145,1.46,3.84
12,877,2575,1.45,2.84
79,835,381,1.4,3.93
127,921,141,1.39,2.0
7,880,3314,1.34,2.23
133,822,103,1.32,5.21
24,908,1383,1.28,2.67
119,302,165,1.25,5.13
55,917,692,1.24,2.23
80,113,377,1.23,3.94
67,817,476,1.2,3.36
36,828,1089,1.16,2.62
53,868,746,1.15,1.89
38,129,1062,1.14,3.88
64,949,560,1.14,3.69
6,879,3401,1.12,2.13
126,865,142,1.11,4.18
102,411,213,1.07,4.19
100,821,228,1.06,4.48
88,807,302,1.05,3.99
89,839,297,1.03,5.36
110,201,201,1.03,4.97
121,948,159,1.02,2.73
93,409,266,1.02,4.3
113,909,187,1.01,2.72
27,916,1342,1.0,3.07
123,825,147,0.99,4.82
47,953,811,0.99,2.44
65,407,543,0.99,4.66
26,840,1349,0.98,2.94
13,870,2505,0.94,2.45
90,815,293,0.85,2.6
74,843,418,0.84,4.03
54,816,696,0.82,1.78
103,872,211,0.82,2.94
105,847,207,0.82,4.88
84,837,350,0.76,2.78
108,863,206,0.76,2.79
117,301,166,0.72,4.23
44,875,918,0.68,2.53
71,842,445,0.67,4.08
73,829,423,0.63,3.71
66,848,521,0.55,2.96
122,858,158,0.52,4.5
132,860,106,0.46,3.84
37,930,1089,0.42,2.71
111,412,199,0.29,2.39
0,934,6215,0.29,2.33
97,408,238,0.23,3.81
77,202,386,0.1,3.75
