CENSUS_TRACT,MUNICODE,Count,Return,Risk
60500,106,160,6.59,9.41
20300,106,160,6.59,9.41
50900,106,160,6.59,9.41
60300,106,160,6.59,9.41
90300,109,210,6.24,8.16
90200,109,210,6.24,8.16
90100,109,210,6.24,8.16
80200,108,276,5.36,6.79
80600,108,276,5.36,6.79
80900,108,276,5.36,6.79
80700,108,276,5.36,6.79
80400,108,276,5.36,6.79
111500,108,276,5.36,6.79
180300,117,384,4.77,8.16
170200,117,384,4.77,8.16
170600,117,384,4.77,8.16
40500,104,176,4.67,6.55
40900,104,176,4.67,6.55
40600,104,176,4.67,6.55
40400,104,176,4.67,6.55
40200,104,176,4.67,6.55
290200,116,454,4.56,8.32
561600,116,454,4.56,8.32
160800,116,454,4.56,8.32
561700,116,454,4.56,8.32
111400,111,664,4.15,4.55
110200,111,664,4.15,4.55
110600,111,664,4.15,4.55
101400,111,664,4.15,4.55
111500,111,664,4.15,4.55
980100,111,664,4.15,4.55
111300,111,664,4.15,4.55
101800,110,1289,3.91,5.34
101600,110,1289,3.91,5.34
100500,110,1289,3.91,5.34
101100,110,1289,3.91,5.34
101400,110,1289,3.91,5.34
101700,110,1289,3.91,5.34
423000,801,137,3.61,4.08
562300,115,1119,3.59,5.44
151600,115,1119,3.59,5.44
562900,115,1119,3.59,5.44
151700,115,1119,3.59,5.44
563200,125,124,3.21,5.41
250700,125,124,3.21,5.41
220600,125,124,3.21,5.41
250300,125,124,3.21,5.41
261400,125,124,3.21,5.41
250900,125,124,3.21,5.41
320600,119,2882,3.18,4.61
190300,119,2882,3.18,4.61
191100,119,2882,3.18,4.61
191600,119,2882,3.18,4.61
191500,119,2882,3.18,4.61
191400,119,2882,3.18,4.61
192000,119,2882,3.18,4.61
191900,119,2882,3.18,4.61
191800,119,2882,3.18,4.61
191700,119,2882,3.18,4.61
50100,105,166,3.13,5.87
50900,105,166,3.13,5.87
50600,105,166,3.13,5.87
40200,105,166,3.13,5.87
562000,105,166,3.13,5.87
51000,105,166,3.13,5.87
70800,107,237,3.1,3.22
70500,107,237,3.1,3.22
70300,107,237,3.1,3.22
70600,107,237,3.1,3.22
70900,107,237,3.1,3.22
140600,114,2815,3.09,3.17
141000,114,2815,3.09,3.17
140400,114,2815,3.09,3.17
140200,114,2815,3.09,3.17
140100,114,2815,3.09,3.17
141400,114,2815,3.09,3.17
140800,114,2815,3.09,3.17
141100,114,2815,3.09,3.17
140300,114,2815,3.09,3.17
141300,114,2815,3.09,3.17
140500,114,2815,3.09,3.17
151600,114,2815,3.09,3.17
515401,114,2815,3.09,3.17
980500,114,2815,3.09,3.17
472300,819,988,3.05,4.65
472200,819,988,3.05,4.65
472400,819,988,3.05,4.65
472100,819,988,3.05,4.65
445500,851,229,3.04,3.72
515300,854,793,2.9,4.44
515100,854,793,2.9,4.44
141100,854,793,2.9,4.44
515200,854,793,2.9,4.44
515401,854,793,2.9,4.44
437000,932,599,2.81,3.24
563800,932,599,2.81,3.24
427000,838,207,2.57,6.34
492700,878,1141,2.53,2.87
771100,878,1141,2.53,2.87
491200,878,1141,2.53,2.87
564500,878,1141,2.53,2.87
491101,878,1141,2.53,2.87
446000,824,245,2.48,2.73
260200,126,1013,2.46,4.41
428100,126,1013,2.46,4.41
262000,126,1013,2.46,4.41
270800,126,1013,2.46,4.41
261200,126,1013,2.46,4.41
260700,126,1013,2.46,4.41
250900,126,1013,2.46,4.41
241200,126,1013,2.46,4.41
261500,126,1013,2.46,4.41
261400,126,1013,2.46,4.41
260900,126,1013,2.46,4.41
281500,128,838,2.4,3.54
563000,128,838,2.4,3.54
281400,128,838,2.4,3.54
563100,128,838,2.4,3.54
516100,823,389,2.39,3.46
516200,823,389,2.39,3.46
435000,826,254,2.36,3.93
448000,836,145,2.32,5.43
473200,926,4761,2.32,2.5
479000,926,4761,2.32,2.5
474101,926,4761,2.32,2.5
476100,926,4761,2.32,2.5
472400,926,4761,2.32,2.5
473100,926,4761,2.32,2.5
473402,926,4761,2.32,2.5
473300,926,4761,2.32,2.5
473500,926,4761,2.32,2.5
473601,926,4761,2.32,2.5
473602,926,4761,2.32,2.5
473401,926,4761,2.32,2.5
432400,803,613,2.31,4.42
431400,803,613,2.31,4.42
431500,803,613,2.31,4.42
431100,803,613,2.31,4.42
270300,127,1202,2.27,4.15
270400,127,1202,2.27,4.15
270800,127,1202,2.27,4.15
271500,127,1202,2.27,4.15
270100,127,1202,2.27,4.15
434000,804,187,2.2,2.7
476100,813,942,2.2,3.65
476200,813,942,2.2,3.65
408002,938,1532,2.2,2.39
414102,938,1532,2.2,2.39
408001,938,1532,2.2,2.39
414101,914,2395,2.19,2.18
408002,914,2395,2.19,2.18
407002,914,2395,2.19,2.18
426300,914,2395,2.19,2.18
414102,914,2395,2.19,2.18
414200,914,2395,2.19,2.18
180300,118,625,2.18,5.06
191500,118,625,2.18,5.06
430200,864,766,2.18,3.95
430100,864,766,2.18,3.95
562400,118,625,2.18,5.06
180700,118,625,2.18,5.06
411000,923,842,2.09,2.01
424000,852,206,2.07,6.95
456001,905,633,2.05,2.74
300100,130,342,2.05,6.2
290100,130,342,2.05,6.2
458000,905,633,2.05,2.74
453003,929,1200,2.03,2.62
564000,929,1200,2.03,2.62
453004,929,1200,2.03,2.62
432300,802,404,2.01,3.81
191800,132,793,2.01,3.29
320600,132,793,2.01,3.29
290400,132,793,2.01,3.29
290100,132,793,2.01,3.29
432400,802,404,2.01,3.81
320700,132,793,2.01,3.29
320400,132,793,2.01,3.29
456004,946,1720,2.0,2.65
456003,946,1720,2.0,2.65
456001,946,1720,2.0,2.65
458000,946,1720,2.0,2.65
429400,940,3977,1.98,2.55
429202,940,3977,1.98,2.55
429100,940,3977,1.98,2.55
429700,940,3977,1.98,2.55
429201,940,3977,1.98,2.55
429500,940,3977,1.98,2.55
429300,940,3977,1.98,2.55
429600,940,3977,1.98,2.55
413400,940,3977,1.98,2.55
413300,927,3919,1.97,2.03
413500,927,3919,1.97,2.03
413201,927,3919,1.97,2.03
429500,927,3919,1.97,2.03
413100,927,3919,1.97,2.03
413202,927,3919,1.97,2.03
429300,927,3919,1.97,2.03
429201,927,3919,1.97,2.03
414200,927,3919,1.97,2.03
409000,927,3919,1.97,2.03
413400,927,3919,1.97,2.03
120300,112,262,1.95,4.73
561900,112,262,1.95,4.73
120700,112,262,1.95,4.73
470400,941,1894,1.91,2.5
468900,941,1894,1.91,2.5
470600,941,1894,1.91,2.5
470501,941,1894,1.91,2.5
409000,935,1581,1.91,1.83
469000,941,1894,1.91,2.5
470502,941,1894,1.91,2.5
562800,941,1894,1.91,2.5
474101,941,1894,1.91,2.5
470300,941,1894,1.91,2.5
417200,853,471,1.9,4.25
417100,853,471,1.9,4.25
410000,809,112,1.88,1.97
495000,911,129,1.87,3.78
412002,884,1918,1.87,1.62
413202,884,1918,1.87,1.62
437000,884,1918,1.87,1.62
412001,884,1918,1.87,1.62
474101,950,3261,1.84,2.0
474202,950,3261,1.84,2.0
525300,845,614,1.84,2.94
470400,950,3261,1.84,2.0
525100,845,614,1.84,2.94
525200,845,614,1.84,2.94
474203,950,3261,1.84,2.0
474102,950,3261,1.84,2.0
474201,950,3261,1.84,2.0
473500,950,3261,1.84,2.0
746100,950,3261,1.84,2.0
403500,855,375,1.81,5.68
402000,855,375,1.81,5.68
426700,944,4325,1.8,2.72
425000,944,4325,1.8,2.72
468700,812,773,1.8,3.21
468900,812,773,1.8,3.21
426800,944,4325,1.8,2.72
427200,944,4325,1.8,2.72
426400,944,4325,1.8,2.72
427100,944,4325,1.8,2.72
426300,944,4325,1.8,2.72
415002,944,4325,1.8,2.72
468800,812,773,1.8,3.21
470502,831,753,1.79,2.62
470501,831,753,1.79,2.62
202300,831,753,1.79,2.62
469000,831,753,1.79,2.62
202300,120,1376,1.77,3.28
281400,120,1376,1.77,3.28
563100,120,1376,1.77,3.28
191600,120,1376,1.77,3.28
191100,120,1376,1.77,3.28
192000,120,1376,1.77,3.28
202200,120,1376,1.77,3.28
562600,120,1376,1.77,3.28
562500,120,1376,1.77,3.28
563000,120,1376,1.77,3.28
428100,937,425,1.76,3.38
428200,937,425,1.76,3.38
427000,937,425,1.76,3.38
475200,876,4843,1.74,2.12
475101,876,4843,1.74,2.12
475401,876,4843,1.74,2.12
475301,876,4843,1.74,2.12
474203,876,4843,1.74,2.12
474102,876,4843,1.74,2.12
746302,876,4843,1.74,2.12
480102,876,4843,1.74,2.12
475304,876,4843,1.74,2.12
490002,876,4843,1.74,2.12
475102,876,4843,1.74,2.12
473402,876,4843,1.74,2.12
475402,876,4843,1.74,2.12
475303,876,4843,1.74,2.12
480200,873,1245,1.74,2.72
489002,873,1245,1.74,2.72
489001,873,1245,1.74,2.72
